src,sport,dst,dport,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,avg_ttl_orig,avg_ttl_resp,overall_avg_ttl,mean_interpkt_orig,std_interpkt_orig,mean_interpkt_resp,std_interpkt_resp,Sload,Dload,mean_pkt_size_orig,mean_pkt_size_resp,load_diff,swin,dwin,stcpb,dtcpb,is_sm_ips_ports
172.22.57.150,61829,142.250.70.46,443,17,82.346444,4948,0,58,0,128.0,0,128.0,1.4446744584200675,2.625454349095229,0,0,480.7007816876706904307853294,0E+6,85.3103448275862,0,480.7007816876706904307853294,0.0,0.0,0,0,0
142.250.70.46,443,172.22.57.150,61829,17,82.378167,5373,0,61,0,59.0,0,59.0,1.3729694525400797,2.5681670154415674,0,0,521.7887404559511502604810326,0E+6,88.08196721311475,0,521.7887404559511502604810326,0.0,0.0,0,0,0
142.250.183.110,443,172.22.57.150,51682,17,81.415153,12809,0,47,0,59.0,0,59.0,1.7698946310126262,1.6350413112629028,0,0,1258.635477845260574527201343,0E+6,272.531914893617,0,1258.635477845260574527201343,0.0,0.0,0,0,0
172.22.57.150,51682,142.250.183.110,443,17,81.428953,3995,0,44,0,128.0,0,128.0,1.8936965853668923,1.6275470045765172,0,0,392.4893888786707106500558837,0E+6,90.79545454545455,0,392.4893888786707106500558837,0.0,0.0,0,0,0
172.22.57.150,54362,3.93.97.142,443,6,45.240560,110,0,2,0,128.0,0,128.0,45.24056005477905,0.0,0,0,19.45157177541568893046416755,0E+6,55.0,0,19.45157177541568893046416755,255.0,255.0,2235876654,0,0
3.93.97.142,443,172.22.57.150,54362,6,45.513547,132,0,2,0,245.0,0,245.0,45.51354694366455,0.0,0,0,23.20188316678548477006197737,0E+6,66.0,0,23.20188316678548477006197737,425.0,425.0,843582355,0,0
31.13.79.54,443,172.22.57.150,54308,6,73.521784,7945,0,42,0,56.0,0,56.0,1.7932142455403397,8.653373428111632,0,0,864.5056817446105497113617374,0E+6,189.16666666666666,0,864.5056817446105497113617374,282.23809523809524,277.0,2331162449,0,0
172.22.57.150,54308,31.13.79.54,443,6,73.561524,5402,0,33,0,128.0,0,128.0,2.298797622323036,9.744403004446003,0,0,587.4810315240342220207400815,0E+6,163.6969696969697,0,587.4810315240342220207400815,253.93939393939394,255.0,51289626,0,0
172.22.57.150,54412,74.125.200.188,5228,6,45.115057,110,0,2,0,128.0,0,128.0,45.11505699157715,0.0,0,0,19.50568299182244189561813033,0E+6,55.0,0,19.50568299182244189561813033,253.0,253.0,1057015345,0,0
172.22.57.150,54413,74.125.130.188,5228,6,45.115047,110,0,2,0,128.0,0,128.0,45.115046977996826,0.0,0,0,19.50568731536509315838682380,0E+6,55.0,0,19.50568731536509315838682380,253.0,253.0,1846892160,0,0
172.22.57.150,54415,20.212.88.117,443,6,45.082741,110,0,2,0,128.0,0,128.0,45.082741022109985,0.0,0,0,19.51966496447054982748276109,0E+6,55.0,0,19.51966496447054982748276109,255.0,255.0,3964688853,0,0
74.125.200.188,5228,172.22.57.150,54412,6,45.093684,132,0,2,0,123.0,0,123.0,45.09368395805359,0.0,0,0,23.41791369274686007024841883,0E+6,66.0,0,23.41791369274686007024841883,1047.0,1047.0,1284346306,0,0
74.125.130.188,5228,172.22.57.150,54413,6,45.092613,132,0,2,0,122.0,0,122.0,45.092612981796265,0.0,0,0,23.41846989439268023789173628,0E+6,66.0,0,23.41846989439268023789173628,1047.0,1047.0,1244767428,0,0
20.212.88.117,443,172.22.57.150,54415,6,45.097118,132,0,2,0,48.0,0,48.0,45.09711813926697,0.0,0,0,23.41613049419255571941426501,0E+6,66.0,0,23.41613049419255571941426501,251.0,251.0,2656121066,0,0
172.22.57.150,54420,104.97.76.219,443,6,45.129158,110,0,2,0,128.0,0,128.0,45.12915802001953,0.0,0,0,19.49958827062539035184303682,0E+6,55.0,0,19.49958827062539035184303682,252.0,252.0,2022871768,0,0
104.97.76.219,443,172.22.57.150,54420,6,45.055101,132,0,2,0,58.0,0,58.0,45.05510115623474,0.0,0,0,23.43796765653682587461073498,0E+6,66.0,0,23.43796765653682587461073498,501.0,501.0,3600922760,0,0
172.22.57.150,54419,172.64.155.209,443,6,45.046302,110,0,2,0,128.0,0,128.0,45.04630208015442,0.0,0,0,19.53545487485299015222159635,0E+6,55.0,0,19.53545487485299015222159635,252.0,252.0,4077048771,0,0
172.64.155.209,443,172.22.57.150,54419,6,45.108664,132,0,2,0,59.0,0,59.0,45.10866403579712,0.0,0,0,23.41013690851052471871035684,0E+6,66.0,0,23.41013690851052471871035684,18.0,18.0,1360751593,0,0
172.22.57.150,54421,3.233.158.25,443,6,15.092036,163,0,3,0,128.0,0,128.0,7.546018004417419,7.238110184669495,0,0,86.40318642229583867942005969,0E+6,54.333333333333336,0,86.40318642229583867942005969,168.0,252.0,2013730230,0,0
3.233.158.25,443,172.22.57.150,54421,6,14.849868,291,0,4,0,52.0,0,52.0,4.949956019719441,6.7714051729700575,0,0,156.7690702705236167755834597,0E+6,72.75,0,156.7690702705236167755834597,76.0,76.0,1529542869,0,0
