packet_count,byte_count,sbytes,dbytes,spkts,dpkts,sload,dload,source_ttl,dest_ttl,source_tcp_win,dest_tcp_win,tcprtt,http_methods,ftp_cmds
3,213,213,213,3,3,174.1501347885306,174.1501347885306,128,,,,,0,0
3,201,201,201,3,3,163.95945419364898,163.95945419364898,59,,,,,0,0
15,1080,1080,1080,15,15,1063.0435115873129,1063.0435115873129,128,,,,,0,0
15,1408,1408,1408,15,15,1374.8392821448062,1374.8392821448062,59,,,,,0,0
3,770,770,770,3,3,812.1615685493464,812.1615685493464,128,,,,,0,0
2,143,143,143,2,2,154.27052253717883,154.27052253717883,60,,,,,0,0
1,55,55,55,1,1,0.0,0.0,128,,252.0,,,0,0
1,66,66,66,1,1,0.0,0.0,121,,1050.0,,,0,0
5,375,375,375,5,5,466.9320859359948,466.9320859359948,60,,10.0,,,0,0
4,244,244,244,4,4,301.43165757156345,301.43165757156345,128,,253.0,,,0,0
1,55,55,55,1,1,0.0,0.0,128,,251.0,,,0,0
1,54,54,54,1,1,0.0,0.0,45,,83.0,,,0,0
4,387,387,387,4,4,20897.339843385398,20897.339843385398,128,,,,,0,0
10,4910,4910,4910,10,10,245470.240207399,245470.240207399,128,,,,,0,0
7,1533,1533,1533,7,7,228387.1128061911,228387.1128061911,59,,,,,0,0
12,6974,6974,6974,12,12,612756.4088767855,612756.4088767855,59,,,,,0,0
6,4189,4189,4189,6,6,385077.6833015539,385077.6833015539,128,,,,,0,0
6,3867,3867,3867,6,6,525679.2590293842,525679.2590293842,59,,,,,0,0
1,1292,1292,1292,1,1,0.0,0.0,128,,,,,0,0
